sites number xmin xmax ymin ymax port_number  exutoire_x  exutoire_y

Granville_Barneville 0 348000 376000 6868000 6932000

Breville-Sur-Mer 1 360487.5 374962.5 6868837.5 6882487.5 26 365392 6879728

Agon-Coutainville 2 362000 374000 6886000 6899000 26 365978 6888120

Saint-Germain-Sur-Ay 3 357000 370000 6910500 6925500 23 359185 6918823

Jullouville 4 363270 368065 6861365 6867475 26 364527 6865761

Etréham 5 413295 427611 6914668 6924759 34 426723 6920560

Genêts 6 370325 380808 6847915 6859489 29 377450 6851361

Saint-Pair-sur-Mer 7 361865 375194 6864278 6870158 26 364319 6867041

Arromanches-les-Bains 8 431093 448998 6915680 6923236 35 440198 6921830

Port-en-Bessin 9 399485 432529 6920043 6930579 34 426723 6920560

Courtils 10 370474 387371 6836230 6852063 29 374235 6847582

Lessay 11 367795 374393 6909026 6917699 23 368792 6911790

Doville 12 360079 377692 6917114 6932519 23 374760 6927585

Graye-sur-Mer 13 443256 449592 6916749 6921161 35 448787 6920845

Saint-Potan 14 302491 317257 6831377 6845904 12 315254 6842734

Saint-Vaast-la-Hougue 15 384332 392343 6944140 6954778 30 389088 6949610

La_Pernelle 16 379075 396473 6951243 6960004 30 393049 6953794

Lestre 17 378704 389863 6942266 6950855 30 389706 6943897

Banville 18 443546 448439 6914826 6919051 35 447868 6917271

Isigny-sur-Mer 19 395037 405686 6918725 6926751 33 400730 6925300

Saint-Malo 20 328102 346301 6842851 6857817 14 330138 6849875

Pierreville 21 350819 358401 6933959 6945811 22 357957 6937802

La_Feuillie 22 370733 378595 6894810 6911769 23 372367 6911218

Tourlaville 23 366163 372908 6950481 6960398 27 366411 6957924

Octeville 24 361813 369436 6956257 6961406 27 366980 6960700

Saint-Briac-sur-Mer 25 316587 328919 6830386 6851138 14 322497 6846087

Bréhal 26 360806 374335 6868578 6882666 26 361765 686910

Blainville-sur-Mer 27 363519 374494 6886577 6912358 23 365098 6902495

Hauteville-sur-Mer 28 365615 371721 6880312 6889191 26 366443 6888394

Sainte-Marie-du-Mont 29 389106 399561 6920142 6930632 33 397208 6925967

Vierville-sur-Mer 30 400056 432501 6920799 6929295 34 408242 6928963
