Code national BSS|Code côte chronique|Côte chronique définie pour le point d'eau|Date de la mesure|Profondeur relative/repère de mesure|Côte NGF|Code continuité|Continuité|Code mode obtention|Mode obtention|Code qualification|Qualification de la mesure|Code statut de la mesure|Statut de la mesure|Code nature de la mesure|Nature de la mesure|Profondeur début site de mesure|Profondeur fin site de mesure|X_WGS84|Y_WGS84|Producteur de données|
01201X0108/S1|2|Profondeur relative|29/01/1974 00:00:00|9.40|28.07|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||456355|6911718|BRGM|
01201X0108/S1|2|Profondeur relative|27/02/1974 00:00:00|9.10|28.37|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|26/03/1974 00:00:00|8.86|28.61|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|23/04/1974 00:00:00|8.90|28.57|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|05/06/1974 00:00:00|9.32|28.15|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|26/06/1974 00:00:00|9.42|28.05|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|23/07/1974 00:00:00|9.52|27.95|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|27/08/1974 00:00:00|9.67|27.80|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|25/09/1974 00:00:00|9.69|27.78|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|24/10/1974 00:00:00|9.23|28.24|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|02/12/1974 00:00:00|6.69|30.78|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|20/12/1974 00:00:00|7.05|30.42|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|17/01/1975 00:00:00|7.84|29.63|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|17/02/1975 00:00:00|7.82|29.65|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|27/03/1975 00:00:00|6.82|30.65|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|17/04/1975 00:00:00|5.88|31.59|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|21/05/1975 00:00:00|7.11|30.36|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|24/06/1975 00:00:00|7.75|29.72|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|22/07/1975 00:00:00|8.35|29.12|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|25/08/1975 00:00:00|8.72|28.75|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|23/09/1975 00:00:00|9.18|28.29|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|22/10/1975 00:00:00|9.38|28.09|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|18/11/1975 00:00:00|9.36|28.11|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|19/12/1975 00:00:00|9.43|28.04|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|19/01/1976 00:00:00|9.59|27.88|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|17/02/1976 00:00:00|9.52|27.95|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|16/03/1976 00:00:00|9.44|28.03|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|13/04/1976 00:00:00|9.42|28.05|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|18/05/1976 00:00:00|9.52|27.95|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|15/06/1976 00:00:00|9.57|27.90|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|19/07/1976 00:00:00|9.64|27.83|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|17/08/1976 00:00:00|9.75|27.72|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|14/09/1976 00:00:00|9.76|27.71|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|18/10/1976 00:00:00|9.56|27.91|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|24/11/1976 00:00:00|9.27|28.20|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|13/12/1976 00:00:00|8.68|28.79|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|19/01/1977 00:00:00|8.47|29.00|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|14/02/1977 00:00:00|7.55|29.92|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|28/03/1977 00:00:00|7.17|30.30|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|27/04/1977 00:00:00|6.94|30.53|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|23/05/1977 00:00:00|7.82|29.65|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|22/06/1977 00:00:00|8.47|29.00|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|18/07/1977 00:00:00|8.89|28.58|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|23/08/1977 00:00:00|9.14|28.33|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
01201X0108/S1|2|Profondeur relative|28/09/1977 00:00:00|9.50|27.97|2|Point courant|1|Valeur mesurée|4|Non qualifié|1|Brute|||||-0.347446524144369|49.2586215453566|BRGM|
