stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech	chd_sea
0	100000	1	1	0.00021348	0.63
1	1	1	0	0.00021328	1.036736643
2	1	1	0	0.0002131	1.373144825
3	1	1	0	0.00021283	1.581056516
4	1	1	0	0.00021263	1.624521895
5	1	1	0	0.00021243	1.496025404
6	1	1	0	0.0002122	1.217785252
7	1	1	0	0.00021197	0.837911691
8	1	1	0	0.00021178	0.422088309
9	1	1	0	0.00021155	0.042214748
10	1	1	0	0.00021137	-0.236025404
11	1	1	0	0.00021115	-0.364521895
12	1	1	0	0.00021095	-0.321056516
13	1	1	0	0.00021075	-0.113144825
14	1	1	0	0.00021053	0.223263357
15	1	1	0	0.00021033	0.63
16	1	1	0	0.00021012	1.036736643
17	1	1	0	0.00020992	1.373144825
18	1	1	0	0.00020972	1.581056516
19	1	1	0	0.00020955	1.624521895
20	1	1	0	0.00020933	1.496025404
21	1	1	0	0.00020915	1.217785252
22	1	1	0	0.00020895	0.837911691
23	1	1	0	0.00020875	0.422088309
24	1	1	0	0.00020855	0.042214748
25	1	1	0	0.00020838	-0.236025404
26	1	1	0	0.00020815	-0.364521895
27	1	1	0	0.00020798	-0.321056516
28	1	1	0	0.00020783	-0.113144825
29	1	1	0	0.0002076	0.223263357
30	1	1	0	0.00020745	0.63
31	1	1	0	0.00020725	1.036736643
32	1	1	0	0.00020705	1.373144825
33	1	1	0	0.00020688	1.581056516
34	1	1	0	0.00020665	1.624521895
35	1	1	0	0.00020648	1.496025404
36	1	1	0	0.0002063	1.217785252
37	1	1	0	0.00020613	0.837911691
38	1	1	0	0.00020595	0.422088309
39	1	1	0	0.00020575	0.042214748
40	1	1	0	0.00020558	-0.236025404
41	1	1	0	0.00020543	-0.364521895
42	1	1	0	0.00020525	-0.321056516
43	1	1	0	0.00020505	-0.113144825
44	1	1	0	0.0002049	0.223263357
45	1	1	0	0.00020478	0.63
46	1	1	0	0.00020463	1.036736643
47	1	1	0	0.00020453	1.373144825
48	1	1	0	0.00020435	1.581056516
49	1	1	0	0.0002042	1.624521895
50	1	1	0	0.00020408	1.496025404
51	1	1	0	0.00020393	1.217785252
52	1	1	0	0.00020378	0.837911691
53	1	1	0	0.00020365	0.422088309
54	1	1	0	0.0002035	0.042214748
55	1	1	0	0.00020333	-0.236025404
56	1	1	0	0.00020322	-0.364521895
57	1	1	0	0.00020307	-0.321056516
58	1	1	0	0.00020297	-0.113144825
59	1	1	0	0.0002028	0.223263357
60	1	1	0	0.00020268	0.63
61	1	1	0	0.00020255	1.036736643
62	1	1	0	0.00020238	1.373144825
63	1	1	0	0.00020228	1.581056516
64	1	1	0	0.00020212	1.624521895
65	1	1	0	0.00020197	1.496025404
66	1	1	0	0.00020185	1.217785252
67	1	1	0	0.0002017	0.837911691
68	1	1	0	0.00020155	0.422088309
69	1	1	0	0.00020145	0.042214748
70	1	1	0	0.00020132	-0.236025404
71	1	1	0	0.0002012	-0.364521895
72	1	1	0	0.00020113	-0.321056516
73	1	1	0	0.000201	-0.113144825
74	1	1	0	0.00020087	0.223263357
75	1	1	0	0.0002008	0.63
76	1	1	0	0.00020065	1.036736643
77	1	1	0	0.00020055	1.373144825
78	1	1	0	0.0002004	1.581056516
79	1	1	0	0.0002003	1.624521895
80	1	1	0	0.0002002	1.496025404
81	1	1	0	0.00020005	1.217785252
82	1	1	0	0.00019995	0.837911691
83	1	1	0	0.00019982	0.422088309
84	1	1	0	0.0001997	0.042214748
85	1	1	0	0.00019955	-0.236025404
86	1	1	0	0.00019948	-0.364521895
87	1	1	0	0.00019937	-0.321056516
88	1	1	0	0.00019923	-0.113144825
89	1	1	0	0.00019915	0.223263357
90	1	1	0	0.00019905	0.63
91	1	1	0	0.00019893	1.036736643
92	1	1	0	0.00019885	1.373144825
93	1	1	0	0.00019878	1.581056516
94	1	1	0	0.0001988	1.624521895
95	1	1	0	0.0001988	1.496025404
96	1	1	0	0.00019888	1.217785252
97	1	1	0	0.00019898	0.837911691
98	1	1	0	0.00019913	0.422088309
99	1	1	0	0.00019927	0.042214748
100	1	1	0	0.0001994	-0.236025404
101	1	1	0	0.00019947	-0.364521895
102	1	1	0	0.00019957	-0.321056516
103	1	1	0	0.00019962	-0.113144825
104	1	1	0	0.00019968	0.223263357
105	1	1	0	0.00019975	0.63
106	1	1	0	0.0001998	1.036736643
107	1	1	0	0.00019985	1.373144825
108	1	1	0	0.00019985	1.581056516
109	1	1	0	0.0001999	1.624521895
110	1	1	0	0.00019998	1.496025404
111	1	1	0	0.0002	1.217785252
112	1	1	0	0.00020005	0.837911691
113	1	1	0	0.00020008	0.422088309
114	1	1	0	0.00020013	0.042214748
115	1	1	0	0.00020018	-0.236025404
116	1	1	0	0.00020023	-0.364521895
117	1	1	0	0.0002003	-0.321056516
118	1	1	0	0.0002004	-0.113144825
119	1	1	0	0.00020045	0.223263357
120	1	1	0	0.00020052	0.63
121	1	1	0	0.0002006	1.036736643
122	1	1	0	0.00020068	1.373144825
123	1	1	0	0.00020078	1.581056516
124	1	1	0	0.00020085	1.624521895
125	1	1	0	0.0002009	1.496025404
126	1	1	0	0.00020098	1.217785252
127	1	1	0	0.00020108	0.837911691
128	1	1	0	0.00020113	0.422088309
129	1	1	0	0.00020125	0.042214748
130	1	1	0	0.0002015	-0.236025404
131	1	1	0	0.00020192	-0.364521895
132	1	1	0	0.00020235	-0.321056516
133	1	1	0	0.00020285	-0.113144825
134	1	1	0	0.00020372	0.223263357
135	1	1	0	0.00020507	0.63
136	1	1	0	0.00025153	1.036736643
137	1	1	0	0.00070173	1.373144825
138	1	1	0	0.0010213	1.581056516
139	1	1	0	0.0012922	1.624521895
140	1	1	0	0.0016299	1.496025404
141	1	1	0	0.0017799	1.217785252
142	1	1	0	0.0020541	0.837911691
143	1	1	0	0.0021123	0.422088309
144	1	1	0	0.0020297	0.042214748
145	1	1	0	0.0019385	-0.236025404
146	1	1	0	0.0019933	-0.364521895
147	1	1	0	0.002418	-0.321056516
148	1	1	0	0.0026932	-0.113144825
149	1	1	0	0.0027003	0.223263357
150	1	1	0	0.0026535	0.63
151	1	1	0	0.0024188	1.036736643
152	1	1	0	0.002114	1.373144825
153	1	1	0	0.00177	1.581056516
154	1	1	0	0.001444	1.624521895
155	1	1	0	0.0011928	1.496025404
156	1	1	0	0.001067	1.217785252
157	1	1	0	0.0016173	0.837911691
158	1	1	0	0.0022233	0.422088309
159	1	1	0	0.0023567	0.042214748
160	1	1	0	0.0023225	-0.236025404
161	1	1	0	0.0022555	-0.364521895
162	1	1	0	0.0020818	-0.321056516
163	1	1	0	0.0018922	-0.113144825
164	1	1	0	0.0016637	0.223263357
165	1	1	0	0.0014103	0.63
166	1	1	0	0.0011347	1.036736643
167	1	1	0	0.00089745	1.373144825
168	1	1	0	0.00080142	1.581056516
169	1	1	0	0.0010311	1.624521895
170	1	1	0	0.0013857	1.496025404
171	1	1	0	0.001599	1.217785252
172	1	1	0	0.0019543	0.837911691
173	1	1	0	0.0023717	0.422088309
174	1	1	0	0.0026323	0.042214748
175	1	1	0	0.0026985	-0.236025404
