sites,number,xmin,xmax,ymin,ymax,port_number
Granville_Barneville,0,348000,376000,6868000,6932000,
Breville-Sur-Mer,1,360487.5,374962.5,6868837.5,6882487.5,26
Agon-Coutainville,2,362000,374000,6886000,6899000,26
Saint-Germain-Sur-Ay,3,357000,370000,6910500,6925500,23
Jullouville,4,363270,368065,6861365,6867475,26
Courseulles-sur-Mer,5,447275,460613,6910914,6922101,39
Genêts,6,370325,380808,6847915,6859489,29
Saint-Pair-sur-Mer,7,361865,375194,6864278,6870158,26
Arromanches-les-Bains,8,431093,448998,6915680,6923236,35
Port-en-Bessin,9,399485,432529,6920043,6930579,34
Octeville-sur-Mer,10,485980,496463,6937230,6946702,42
Lessay,11,367795,374393,6909026,6917699,23
Doville,12,360079,377692,6917114,6932519,23
Longues-sur-Mer,13,424757,437501,6904583,6924298,34
Saint-Potan,14,302491,317257,6831377,6845904,12
Notre-Dame-du-Bec,15,489702,508938,6940806,6954894,44
Dives-sur-Mer,16,474636,483616,6911294,6916742,39
Trouville-sur-Mer,17,486769,492276,6921940,6926569,42
Villers-sur-Mer,18,475903,487657,6913329,6921750,39
Fecamp,19,508928,514635,6957867,6966966,47
Saint-Malo,20,328102,346301,6842851,6857817,14
Pierreville,21,350819,358401,6933959,6945811,22
La_Feuillie,22,370733,378595,6894810,6911769,23
Tourlaville,23,366163,372908,6950481,6960398,27
Octeville,24,361813,369436,6956257,6961406,27
Saint-Briac-sur-Mer,25,316587,328919,6830386,6851138,14
Bréhal,26,360806,374335,6868578,6882666,26
Blainville-sur-Mer,27,363519,374494,6886577,6912358,23
Hauteville-sur-Mer,28,365615,371721,6880312,6889191,26
Fontaine-la-Mallet,29,486877,497492,6937281,6946659,42
Vierville-sur-Mer,30,400056,432501,6920799,6929295,34
